RESTAURANT_ID;NAME;ADRESS;REVIEW_COUNT_TRIP;REVIEW_COUNT_GOOGLE;PRICE_RANGE_TRIP;CITY;PLZ;KREIS;AVERAGE_REVIEW_TRIP;AVERAGE_REVIEW_GOOGLE;WEIGHTED AVERAGE REVIEW;DATA_SOURCE;alt_Google_clean.Restaurantname;alt_Beide Quellen?;alt_Trip_Küche;alt_Google_clean.Ort;alt_Google_clean.PLZ;alt_Google_clean.Strasse;alt_Google_KÜCHE;alt_Merged_Küche;alt_Google_clean.Preis;SUM REVIEW COUNT;PRICE_NUMERIC;WEIGHTED RATING;Lage
65;Black Tap Craft Burgers And Beer;Werdmuehlestrasse 4;101;2176;€€ - €€€;Zürich;8001;Kreis 1;4;4.2;4.191128678;both;Black Tap Craft Burgers & Beer - Zürich;Yes;Bar, Pub, Amerikanisch;Zürich;8001;Werdmühlestrasse 4;Hamburger;Bar, Pub, Amerikanisch, Hamburger;k. A.;2277;3;4.191597736;Zentrum
66;Blueberry American Bakery;Bahnhofplatz 15;6;64;;Zürich;8001;Kreis 1;3.5;3;3.042857143;both;Blueberry American Backery Zürich HB;Yes;Café;Zürich;8001;Bahnhofplatz 15;Bäckerei;Café, Bäckerei;Price information not available;70;0;3.31;Zentrum
67;Bocuci - Bottega E Cucina;Leonhardstrasse 1;40;120;€€ - €€€;Zürich;8001;Kreis 1;4.5;4.7;4.65;both;BOCUCI Bottega e Cucina;Yes;Europäisch, Italienisch, Mediterran;Zürich;8001;Leonhardstrasse 1;Italienisch;Europäisch, Italienisch, Mediterran, Italienisch;k. A.;160;3;4.605;Zentrum
68;Bodega Española;Muenstergasse 15;385;1234;€€ - €€€;Zürich;8001;Kreis 1;3.5;4.3;4.109759111;both;Bodega Española;Yes;Europäisch, Mediterran, Spanisch;Zürich;8001;Münstergasse 15;Tapas;Europäisch, Mediterran, Spanisch, Tapas;Mäßig teuer;1619;3;4.111409396;Zentrum
69;Bohemia;Klosbachstrasse 2;443;1848;€€ - €€€;Zürich;8032;Kreis 7;3.5;4.2;4.06464426;both;Bohemia;Yes;Europäisch, Mitteleuropäisch, Steakhaus;Zürich;8032;Klosbachstrasse 2;Restaurant;Europäisch, Mitteleuropäisch, Steakhaus, Restaurant;Teuer;2291;3;4.066205106;Zentrum
70;Börnis Baizli;Tramstrasse 17;47;337;€€ - €€€;Zürich;8050;Kreis 11;4;4.4;4.351041667;both;Börni's Baizli;Yes;Europäisch, Schweizerisch, Österreichisch;Zürich;8050;Tramstrasse 17;Schweizerisch;Europäisch, Schweizerisch, Österreichisch, Schweizerisch;k. A.;384;3;4.345792079;Zentrum
71;Bottega Berta;Bertastrasse 36;76;267;€€ - €€€;Zürich;8003;Kreis 3;4.5;4.6;4.577842566;both;Bottega Berta;Yes;Europäisch, Italienisch, Mediterran;Zürich;8003;Bertastrasse 36;Mediterran;Europäisch, Italienisch, Mediterran, Mediterran;Mäßig teuer;343;3;4.559504132;Zentrum
72;Bottega Dei Sapori Miglio GmbH;Neuweg 4;62;229;€€ - €€€;Dubendorf;8600;Aglo.;5;4.8;4.842611684;both;Bottega dei sapori Miglio GmbH;Yes;Europäisch, Italienisch, Mediterran;Dübendorf;8600;Neuweg 4;Restaurant;Europäisch, Italienisch, Mediterran, Restaurant;k. A.;291;3;4.804180064;Aglo.
73;Brasserie Federal;Bahnhofplatz 15;397;2450;€€ - €€€;Zürich;8001;Kreis 1;3;4;3.86055497;both;Brasserie Federal;Yes;Europäisch, Schweizerisch, Bar;Zürich;8001;Bahnhofplatz 15;Schweizerisch;Europäisch, Schweizerisch, Bar, Schweizerisch;Mäßig teuer;2847;3;3.863236833;Zentrum
74;Brasserie Oerlikon;Hofwiesenstrasse 369;55;100;€€ - €€€;Zürich;8050;Kreis 11;4;3.9;3.935483871;both;Brasserie Oerlikon;Yes;Europäisch, Schweizerisch, Deutsch;Zürich;8050;Hofwiesenstrasse 369;Brasserie;Europäisch, Schweizerisch, Deutsch, Brasserie;Mäßig teuer;155;3;3.970857143;Zentrum
75;Brasserie Seefeld;Horneggstrasse 15;108;141;€€ - €€€;Zürich;8008;Kreis 8;4.5;4.4;4.443373494;both;Brasserie Seefeld;Yes;Europäisch, Italienisch, Mediterran;Zürich;8008;Horneggstrasse 15;Brasserie;Europäisch, Italienisch, Mediterran, Brasserie;Mäßig teuer;249;3;4.428624535;Zentrum
