Name,Country,Year,Price,Rating,Rating Counter,Tastes
Primitivo di Manduria DOC Torri d'Oro,Italien,2022,9.95,4.1,5777,"['66.5286%', '25.8608%', '39.5569%', '15.3854%']"
Côtes de Provence Rosé Symphonie Sainte Marguerite,Frankreich,2022,18.70,4.2,2537,"['31.2005%', '1.90461%', '62.8575%']"
Rheingau Riesling Trocken Gelblack Schloss Johannisberg,Deutschland,2022,15.95,4.0,12638,"['41.8542%', '8.93855%', '83.3217%']"
Rías Baixas DO Albariño Pazo San Mauro,Spanien,2023,9.95,3.8,10314,"['13.0113%', '8.13%', '60.9313%']"
Alentejo Vinhas Velhas Tinto Marquês de Borba,Portugal,2021,10.95,4.0,2710,"['63.3581%', '50.1026%', '15.5536%', '41.0572%']"
Mionetto IL Lychee,Italien,,5.70,3.4,1112,"['17.9869%', '63.1175%', '62.1436%']"
Ticino DOC Johanniter Riserva Cantina Giubiasco,Schweiz,2021,18.70,3.5,574,"['61.9539%', '35.9059%', '5.91842%', '45.398%']"
"Sekt Rosé Rotkäppchen, trocken",Deutschland,,4.95,3.1,2124,"['19.9241%', '44.4393%', '58.2883%']"
Ribera del Duero DO Crianza Protos,Spanien,2019,17.95,3.9,35784,"['65.5841%', '55.8658%', '12.168%', '59.2542%']"
Douro DOC Fabelhaft Branco Niepoort,Portugal,2022,10.95,3.4,1332,"['36.7711%', '1.31575%', '64.1465%']"
Valais AOC Dôle de Salquenen Les Dailles 6x 75cl,Schweiz,2021,49.80,3.4,1997,"['12.5218%', '20.739%', '5.98163%', '73.4153%']"
Valais AOC Merlot Bibacchus,Schweiz,2022,8.95,3.5,256,"['68.4167%', '36.5294%', '12.1732%', '32.2222%']"
Alfred Rothschild Champagne brut,Frankreich,,21.95,3.7,3266,"['60.9666%', '74.5235%', '79.4587%']"
Vaud AOC Oeil de Perdrix Bartavelle Cave de la Côte,Schweiz,2022,8.35,3.8,31,None
Vinho Regional Alentejano DO Dom Martinho Quinta do Carmo 6x 75cl,Portugal,2020,46.50,3.7,16668,None
Terre Siciliane IGT Due Lune,Italien,2021,14.70,4.2,18079,"['80.8144%', '38.073%', '39.1471%', '25.4701%']"
Vaud Chasselas La Batoille Cuvée des Pèdzes,Schweiz,2022,10.45,3.5,44,"['30.8155%', '19.4672%', '48.0819%']"
Genève AOC Gamaret Feuille d’Or La Cave de Genève,Schweiz,2022,8.95,3.9,75,None
La Côte AOC Morges Vieilles Vignes,Schweiz,2022,9.70,3.6,645,"['33.1866%', '16.2817%', '60.8741%']"
Naturaplan Bio-Alentejo DOC Rosé Colheita Marquês de Borba Joâo Portugal Ramos,Portugal,2022,6.65,3.8,11571,"['58.4377%', '45.9334%', '17.1743%', '41.9552%']"
Ticino DOC Merlot Cannaiola Terreni alla Maggia,Schweiz,2020,15.15,3.7,537,"['51.1275%', '49.9858%', '23.5844%', '50.9194%']"
Legaris Roble Ribera del Duero DO,Spanien,2022,12.70,3.5,13621,"['59.1911%', '54.6785%', '12.3853%', '59.1665%']"
"Vinho do Portugal Rosé Mateus, Dose",Portugal,,1.85,4.0,380,None
Clairette de Die AOC Clairdie Tradition,Frankreich,,6.95,3.7,96,"['53.4483%', '44.9138%', '63.5345%']"
Champagne AOC Nicolas Henry Brut,Frankreich,,29.95,3.8,37,"['81.8%', '85%', '85%']"
